category_code,section,diagram,group_code,group_name,oem_number,quantity,production_period,applies_for_models,notes,donor_engine_tokens,confidence_statement,required_verification
004,Engine Main,CYLINDER BLOCK,15018,UNION-FUEL FILTER,15018AA021,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D +AT.EJ20H +EJ25D,,EJ18E;EJ20D;EJ20H;EJ25D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,Engine Main,CYLINDER BLOCK,11008,BLOCK SET-CYLINDER,11008AA151,01,01.06.1997 - 31.03.1998,EJ20E +EJ20D +EJ20H,-E/#2213361,EJ20D;EJ20H,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,Engine Main,CYLINDER BLOCK,11008,BLOCK SET-CYLINDER,11008AA500,01,01.03.1998 - 30.11.1998,EJ20E +EJ20D,E/#2213362-,EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
005,Engine Main,TIMING HOLE PLUG & TRANSMISSION BOLT,24233,CLIP-NO.4,24233AA053,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D,,EJ18E;EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,11095,BOLT ASSEMBLY-CYLINDER HEAD,11095AA090,12,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,13214,GUIDE-VALVE,13212AA040,08,01.06.1997 - 30.11.1998,EJ18E +EJ20E,exhaust,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,13214,GUIDE-VALVE,13212AA120,08,01.06.1997 - 30.11.1998,EJ18E +EJ20E,intake,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,A91039,STUD,800910390,06,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
006,Engine Main,CYLINDER HEAD,E01006,STRAIGHT PIN,804010060,04,01.06.1997 - 30.11.1998,EJ18E +EJ20E,,EJ18E,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
010,Engine Main,PISTON & CRANKSHAFT,12024,PIN-PISTON,12024AA031,04,01.06.1997 - 30.11.1998,EJ20E +EJ20D,,EJ20D,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
