category_code,section,diagram,group_code,group_name,oem_number,quantity,production_period,applies_for_models,notes,engine_tokens,interchange_signal,confidence_gate,required_verification
001,Engine Main,ENGINE ASSEMBLY,10100,ENGINE ASSEMBLY,10100BB180,01,01.06.1997 - 30.11.1998,AT.EJ20E,,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.
002,Engine Main,ENGINE GASKET & SEAL KIT,10105,GASKET AND SEAL KIT-ENGINE,10105AA190,01,01.06.1997 - 30.11.1998,EJ20E,,EJ20E,ej20e_specific_target_part,Target-fit evidence only; no cross-engine interchange claim.,Use exact OEM number or supersession for purchases; do not substitute a donor engine without separate evidence.
003,Engine Main,SHORT BLOCK ENGINE,10103,SHORT BLOCK ENGINE ASSEMBLY,10103AA770,01,-E/#2213361,EJ25D,EC E2 E5 E9 K4,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
003,Engine Main,SHORT BLOCK ENGINE,10103,SHORT BLOCK ENGINE ASSEMBLY,10103AA890,01,,EJ25D.N/S,KS K0 -E/#2213361,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
003,Engine Main,SHORT BLOCK ENGINE,10103,SHORT BLOCK ENGINE ASSEMBLY,10103AA970,01,E/#2213362-,EJ25D,EC E2 E5 E9 K4,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
003,Engine Main,SHORT BLOCK ENGINE,10103,SHORT BLOCK ENGINE ASSEMBLY,10103AA980,01,,EJ25D.N/S,KS KO E/#2213362-,EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,11036,BAFFLE-CYLINDER BLOCK,11036AA001,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,11071,SEAL RING-CYLINDER BLOCK,10991AA000,03,01.10.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,11093,COVER-SERVICE HOLE,11093AA000,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,11831,COVER-OIL SEPARATOR,11831AA080,01,01.06.1997 - 31.03.1998,EJ18E +EJ20# +EJ25D,-E/#2213361,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,15018,UNION-FUEL FILTER,15018AA021,01,01.06.1997 - 30.11.1998,EJ18E +EJ20E +EJ20D +AT.EJ20H +EJ25D,,EJ18E;EJ20D;EJ20E;EJ20H;EJ25D,shared_engine_candidate,95%+ only after the donor is from the same BG/B11 production range and the OEM/stamped part number matches.,"Confirm donor frame/engine, same OEM number or supersession, production date, side/trim, and physical connector/mounting match."
004,Engine Main,CYLINDER BLOCK,25240,SWITCH ASSEMBLY-OIL PRESSURE,25240KA040,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,A50635,bolt and washer assembly,800506350,06,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,A7065,bolt,800706500,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,A70862,bolt,800708620,06,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
004,Engine Main,CYLINDER BLOCK,A70863,bolt,800708630,01,01.06.1997 - 30.11.1998,EJ18E +EJ20# +EJ25D,,EJ18E;EJ20;EJ25D,non_ej20e_reference_only,Below 95% for this car unless separate evidence proves the same OEM number also applies to BG5/EJ20E.,"Do not buy for the BG5P without an exact EJ20E/BG5 application, supersession, or stamped-number match."
